#cache,OPT,LRU,FIFO,RAND,CLOCK
0,0,0,0,0,0
5,38,15.93,15.72,15.79,16.07
10,58.14,31.01,29.95,29.57,31.84
15,70.92,45.52,42.34,42.68,47.21
20,79.04,58.62,52.45,52.99,61.2
25,83.95,69.25,60.76,61.14,71.88
30,87.11,77.15,66.79,66.83,79
35,89.16,81.38,71.33,71.94,82.47
40,90.63,84.01,75.19,75.01,84.46
45,91.82,85.92,78.86,79.11,85.94
50,92.87,87.39,81.3,81.64,87.37
55,93.81,88.55,83.67,83.76,88.63
60,94.71,89.72,85.95,85.53,89.69
65,95.49,90.74,87.81,87.64,90.8
70,96.12,91.97,89.64,89.71,92.01
75,96.77,93.19,91.03,91.97,93.17
80,97.33,94.38,92.88,92.96,94.19
85,97.86,95.52,94.5,94.49,95.51
90,98.28,96.72,96.49,96.13,96.87
95,98.66,97.88,97.57,97.76,97.87
100,99,99,99,99,99
