#cache,OPT,LRU,FIFO,RAND,CLOCK
0,0,0,0,0,0
5,8.14,0,0,0,0
10,18.29,0,0,0.61,0
15,28.44,0,0,3.75,0
20,38.59,0,0,10.47,0
25,48.74,0,0,19.53,0
30,58.89,0,0,32.35,0
35,69.04,0,0,46.01,0
40,79.19,0,0,62.42,0
45,89.34,0,0,80.09,0
50,99.5,99.5,99.5,99.5,99.5
55,99.5,99.5,99.5,99.5,99.5
60,99.5,99.5,99.5,99.5,99.5
65,99.5,99.5,99.5,99.5,99.5
70,99.5,99.5,99.5,99.5,99.5
75,99.5,99.5,99.5,99.5,99.5
80,99.5,99.5,99.5,99.5,99.5
85,99.5,99.5,99.5,99.5,99.5
90,99.5,99.5,99.5,99.5,99.5
95,99.5,99.5,99.5,99.5,99.5
100,99.5,99.5,99.5,99.5,99.5
