#cache,OPT,LRU,FIFO,RAND,CLOCK
0,0,0,0,0,0
5,21.58,4.92,4.99,4.98,4.91
10,34.43,10.03,10.08,10.13,9.98
15,43.61,15.07,15.23,14.56,14.85
20,50.71,19.83,19.66,19.62,20.04
25,56.89,24.56,24.78,25.18,24.49
30,62.14,29.5,30.22,30.04,29.63
35,66.8,34.75,35.13,35.19,34.78
40,70.9,39.7,40.01,39.76,39.6
45,74.66,44.62,44.67,45.22,44.3
50,78.14,49.61,49.19,50.01,50
55,81.35,54.46,54.57,54.42,54.8
60,84.13,59.76,60.39,59.3,59.72
65,86.71,65.01,64.57,64.34,64.84
70,89.04,69.99,69.66,69.29,69.33
75,91.24,74.99,74.56,74.41,74.9
80,93.23,79.57,79.37,79.02,79.51
85,95.01,84.32,84.04,84.34,84.45
90,96.56,89.19,89.71,89.37,89.06
95,97.89,94.01,94.1,94.21,94.25
100,99,99,99,99,99
